opleidingid,opleidingnaam,voltijd_deeltijd
1000,Accountancy,Voltijd
1001,Accountancy,Voltijd
1002,Accountancy,Duaal
1003,"Accountancy Associate degree",Deeltijd
1004,Bedrijfskunde,Deeltijd
1005,Bedrijfskunde,Voltijd
1006,"Bedrijfskunde Associate degree",Deeltijd
1007,"Business IT & Management",Deeltijd
1008,"Business IT & Management",Voltijd
1009,"Commerciële Economie",Deeltijd
1010,"Commerciële Economie",Voltijd
1011,Communicatie,Deeltijd
1012,Communicatie,Voltijd
1013,"Communicatie Associate degree",Deeltijd
1014,"Finance & Control",Deeltijd
1015,"Finance & Control",Voltijd
1016,"Finance & Control (international)",Voltijd
1017,"Human Resource Management",Deeltijd
1018,"Human Resource Management",Voltijd
1019,"Human Resource Management Associate degree",Deeltijd
1020,"Industrial Engineering & Management",Voltijd
1021,Informatica,Deeltijd
1022,Informatica,Voltijd
1023,"Integrale Veiligheidskunde",Voltijd
1024,"International Business",Voltijd
1025,"Management in de Zorg",Deeltijd
1026,"Management in de Zorg Associate degree",Deeltijd
1027,"Marketing Management Associate degree",Deeltijd
1028,"Ondernemerschap & Retail Management",Deeltijd
1029,"Ondernemerschap & Retail Management",Voltijd
1030,"Ondernemerschap & Retail Management Associate degree",Deeltijd
1031,Accountancy,Voltijd
1032,"Aeronautical Engineering (EN)",Voltijd
1033,"Associate degree Business Studies Logistiek",Voltijd
1034,"Associate degree Crossmediale Communicatie",Voltijd
1035,"Associate degree Facilitair Eventmanagement",Voltijd
1036,"Associate degree Finance & Control (Ad Bedrijfseconomie)",Voltijd
1037,"Associate degree IT Service Management",Voltijd
1038,"Associate degree IT Service Management",Deeltijd
1039,"Associate degree Pedagogisch Educatief Professional",Deeltijd
1040,"Associate degree Sociaal Financiële Dienstverlening",Deeltijd
1041,"Associate degree Tuinbouwmanagement",Voltijd
1042,"Biologie en Medisch Laboratoriumonderzoek",Voltijd
1043,Biotechnologie,Voltijd
1044,Bouwkunde,Voltijd
1045,"Bouwmanagement & Vastgoed / Ruimtelijke Ontwikkeling",Voltijd
1046,"Business Innovation (EN)",Voltijd
1047,"Business IT & Management",Voltijd
1048,"Business IT & Management",Deeltijd
1049,"Business Studies",Voltijd
1050,Chemie,Voltijd
1051,"Civiele Techniek",Voltijd
1052,Communicatie,Voltijd
1053,"Creative Business",Voltijd
1054,"Creative Business (EN)",Voltijd
1055,"Dier- en Veehouderij",Voltijd
1056,Elektrotechniek,Voltijd
1057,Elektrotechniek,Deeltijd
1058,"Facility Management",Voltijd
1059,"Finance & Control: Bedrijfseconomie",Voltijd
1060,"Food Commerce and Technology",Voltijd
1061,"HBO - Rechten",Voltijd
1062,"HBO - Rechten",Deeltijd
1063,Informatica,Voltijd
1064,"Information Technology (EN)",Voltijd
1065,"Integrale Veiligheidskunde",Voltijd
1066,"Integrale Veiligheidskunde",Deeltijd
1067,"Landscape and Environment Management",Voltijd
1068,"Leisure & Events Management",Voltijd
1069,"Leraar Basisonderwijs (Pabo)",Voltijd
1070,"Leraar Basisonderwijs (Pabo)",Duaal
1071,"Leraar Basisonderwijs (Pabo)",Deeltijd
1072,"Leraar Basisonderwijs Digitaal (DigiPabo)",Deeltijd
1073,Luchtvaarttechnologie,Voltijd
1074,"Master Advanced Health Informatics Practice",Deeltijd
1075,"Master Educational Leadership",Deeltijd
1076,"Master Leren en Innoveren",Deeltijd
1077,"Master Medical Imaging / Radiation Oncology",Deeltijd
1078,"Master of Advanced Nursing Practice",Duaal
1079,"Master Pedagogiek",Deeltijd
1080,"Master Physician Assistant",Duaal
1081,"Mathematical Engineering (EN)",Voltijd
1082,"Medisch Beeldvormende en Radiotherapeutische Technieken",Voltijd
1083,"Medisch Beeldvormende en Radiotherapeutische Technieken",Duaal
1084,Mondzorgkunde,Voltijd
1085,Muziek,Voltijd
1086,Pedagogiek,Voltijd
1087,"Precision Engineering (afstudeerrichting Luchtvaarttechnologie)",Voltijd
1088,"Sociaal Juridische Dienstverlening",Voltijd
1089,"Sociaal Juridische Dienstverlening",Deeltijd
1090,"Social Work",Voltijd
1091,"Social Work",Deeltijd
1092,Sportkunde,Voltijd
1093,"Technische Bedrijfskunde",Voltijd
1094,"Technische Bedrijfskunde",Deeltijd
1095,"Technische Informatica",Voltijd
1096,"Tourism Management",Voltijd
1097,"Tourism Management (EN)",Voltijd
1098,"Tuinbouw & Agribusiness",Voltijd
1099,"Tuinbouw & Agribusiness",Deeltijd
1100,Verloskunde,Voltijd
1101,Verpleegkunde,Voltijd
1102,Verpleegkunde,Duaal
1103,Verpleegkunde,Deeltijd
1104,Werktuigbouwkunde,Voltijd
1105,Werktuigbouwkunde,Deeltijd
1106,Accountancy,Deeltijd
1107,"Accountancy Associate degree",
