schoolid,schoolnaam
1000,"Avans Hogeschool"
1001,"Aeres Hogeschool"
1002,"Amsterdamse Hogeschool voor de Kunsten"
1003,"ArtEZ Hogeschool voor de Kunsten"
1004,"Breda University of Applied Sciences"
1005,"Christelijke Hogeschool Ede"
1006,"Codarts Rotterdam"
1007,"De Haagse Hogeschool"
1008,"Design Academy Eindhoven"
1009,"Driestar hogeschool"
1010,"Fontys Hogescholen"
1011,"Gerrit Rietveld Academie"
1012,"Hanzehogeschool Groningen"
1013,"HAS Hogeschool"
1014,"Hogeschool de Kempel"
1015,"Hogeschool der Kunsten Den Haag"
1016,"Hogeschool Inholland"
1017,"Hogeschool iPabo"
1018,"Hogeschool Leiden"
1019,"Hogeschool Rotterdam"
1020,"Hogeschool Utrecht"
1021,"Hogeschool van Amsterdam"
1022,"Hogeschool van Arnhem en Nijmegen"
1023,"Hogeschool Viaa"
1024,"Hogeschool voor de Kunsten Utrecht"
1025,"Hotelschool The Hague"
1026,"HZ University of Applied Sciences"
1027,"Iselinge Hogeschool"
1028,"Katholieke Pabo Zwolle"
1029,"Marnix Academie"
1030,"NHL Stenden Hogeschool"
1031,Saxion
1032,"Thomas More Hogeschool"
1033,"Van Hall Larenstein University of Applied Sciences"
1034,Windesheim
1035,"Zuyd Hogeschool"
